,fit_time,score_time,test_balanced_accuracy,test_roc_auc,model,cenario/amostra
120,15.721170663833618,0.053253889083862305,1.0,1.0,XGB,cenario4/resultado_102
121,15.305921792984009,0.055719614028930664,1.0,1.0,XGB,cenario4/resultado_102
122,15.68947982788086,0.04195117950439453,1.0,1.0,XGB,cenario4/resultado_102
123,14.460070610046387,0.07202935218811035,0.9908256880733946,0.9999987240178126,XGB,cenario4/resultado_102
124,15.773183584213257,0.02588629722595215,1.0,0.9999999999999999,XGB,cenario4/resultado_102
125,0.24145221710205078,0.014529943466186523,0.9768799321724385,0.9992681000311601,LogClass,cenario4/resultado_103
126,0.42567944526672363,0.017721176147460938,0.9886940996590661,0.999767329224399,LogClass,cenario4/resultado_103
127,0.23469829559326172,0.013103961944580078,0.9860777405293497,0.999546529406737,LogClass,cenario4/resultado_103
128,0.23003482818603516,0.012607574462890625,0.9853203734128528,0.9994539359348142,LogClass,cenario4/resultado_103
129,0.22792935371398926,0.013667821884155273,0.9942853208482512,0.9996327917010924,LogClass,cenario4/resultado_103
130,8.45271897315979,0.3098444938659668,1.0,1.0,RF,cenario4/resultado_103
131,7.738573789596558,0.31093502044677734,1.0,1.0,RF,cenario4/resultado_103
132,7.854885101318359,0.3077986240386963,0.9998622968879096,1.0,RF,cenario4/resultado_103
133,8.039486169815063,0.31534624099731445,0.9913793103448276,1.0,RF,cenario4/resultado_103
134,8.373769283294678,0.3227083683013916,1.0,1.0,RF,cenario4/resultado_103
135,14.885694026947021,0.14164161682128906,0.9824561403508771,0.9998792244275841,MLP,cenario4/resultado_103
136,15.328866004943848,0.13822507858276367,0.9913793103448276,0.9999976258084122,MLP,cenario4/resultado_103
137,21.63896083831787,0.15622878074645996,0.9998622968879096,0.9999643871261835,MLP,cenario4/resultado_103
138,16.120644330978394,0.14141511917114258,0.9741379310344828,1.0,MLP,cenario4/resultado_103
139,17.796948194503784,0.1415250301361084,0.982387288794832,0.9999734257152106,MLP,cenario4/resultado_103
140,0.6459934711456299,0.327023983001709,0.7543859649122807,0.9999130415878605,SVM,cenario4/resultado_103
141,0.5470180511474609,0.28468894958496094,0.7068965517241379,0.9979368275102327,SVM,cenario4/resultado_103
142,0.596447229385376,0.3178098201751709,0.6982758620689655,0.9969016799779675,SVM,cenario4/resultado_103
