AUC,B_ACC,F1,F2,Model,cenario/amostra
0.9222222222222223,0.9222222222222223,0.9156626506024096,0.871559633027523,SVM,cenario4/resultado_102
1.0,1.0,1.0,1.0,XGB,cenario4/resultado_102
0.9969706983917163,0.9969706983917163,0.7236180904522613,0.8674698795180723,LogClass,cenario4/resultado_103
1.0,1.0,1.0,1.0,RF,cenario4/resultado_103
0.9652777777777778,0.9652777777777778,0.9640287769784173,0.9436619718309859,MLP,cenario4/resultado_103
0.7013888888888888,0.7013888888888888,0.5742574257425743,0.45741324921135645,SVM,cenario4/resultado_103
1.0,1.0,1.0,1.0,XGB,cenario4/resultado_103
0.9981836810730254,0.9981836810730254,0.6829268292682926,0.8433734939759037,LogClass,cenario4/resultado_104
1.0,1.0,1.0,1.0,RF,cenario4/resultado_104
0.9999534277198211,0.9999534277198212,0.988235294117647,0.995260663507109,MLP,cenario4/resultado_104
0.6904761904761905,0.6904761904761905,0.5517241379310345,0.4347826086956521,SVM,cenario4/resultado_104
1.0,1.0,1.0,1.0,XGB,cenario4/resultado_104
0.9969633507853404,0.9969633507853404,0.21621621621621626,0.40816326530612246,LogClass,cenario4/resultado_105
1.0,1.0,1.0,1.0,RF,cenario4/resultado_105
1.0,1.0,1.0,1.0,MLP,cenario4/resultado_105
0.5,0.5,0.0,0.0,SVM,cenario4/resultado_105
1.0,1.0,1.0,1.0,XGB,cenario4/resultado_105
0.9959400076423385,0.9959400076423386,0.6909090909090909,0.8482142857142857,LogClass,cenario4/resultado_106
1.0,1.0,1.0,1.0,RF,cenario4/resultado_106
0.9999522353840274,0.9999522353840276,0.9947643979057591,0.9978991596638654,MLP,cenario4/resultado_106
0.9315789473684211,0.9315789473684211,0.9265536723163842,0.8874458874458875,SVM,cenario4/resultado_106
1.0,1.0,1.0,1.0,XGB,cenario4/resultado_106
0.9999017295597484,0.9999017295597484,0.9841269841269841,0.9935897435897436,LogClass,cenario4/resultado_107
1.0,1.0,1.0,1.0,RF,cenario4/resultado_107
0.9999508647798743,0.9999508647798743,0.9919999999999999,0.9967845659163985,MLP,cenario4/resultado_107
0.9435483870967742,0.9435483870967742,0.9401709401709402,0.9075907590759077,SVM,cenario4/resultado_107
1.0,1.0,1.0,1.0,XGB,cenario4/resultado_107
0.9916609938733832,0.9916609938733832,0.42690058479532167,0.6506238859180035,LogClass,cenario4/resultado_108
1.0,1.0,1.0,1.0,RF,cenario4/resultado_108
0.9930655930322555,0.9930655930322556,0.979591836734694,0.9836065573770493,MLP,cenario4/resultado_108
0.684931506849315,0.684931506849315,0.54,0.42319749216300934,SVM,cenario4/resultado_108
0.9931506849315068,0.9931506849315068,0.993103448275862,0.9890109890109889,XGB,cenario4/resultado_108
0.9998572040554049,0.9998572040554048,0.7142857142857143,0.8620689655172413,LogClass,cenario4/resultado_109
1.0,1.0,1.0,1.0,RF,cenario4/resultado_109
1.0,1.0,1.0,1.0,MLP,cenario4/resultado_109
0.5,0.5,0.0,0.0,SVM,cenario4/resultado_109
1.0,1.0,1.0,1.0,XGB,cenario4/resultado_109
0.9994636762554852,0.9994636762554852,0.15384615384615385,0.3125,LogClass,cenario4/resultado_11
0.5,0.5,0.0,0.0,RF,cenario4/resultado_11
0.5,0.5,0.0,0.0,MLP,cenario4/resultado_11
0.5,0.5,0.0,0.0,SVM,cenario4/resultado_11
0.5,0.5,0.0,0.0,XGB,cenario4/resultado_11
0.9999459225611075,0.9999459225611075,0.9841269841269841,0.9935897435897436,LogClass,cenario4/resultado_110
0.9838709677419355,0.9838709677419355,0.9836065573770492,0.974025974025974,RF,cenario4/resultado_110
0.983816890303043,0.983816890303043,0.967741935483871,0.9677419354838711,MLP,cenario4/resultado_110
0.9032258064516129,0.9032258064516129,0.8928571428571428,0.8389261744966443,SVM,cenario4/resultado_110
0.9838709677419355,0.9838709677419355,0.9836065573770492,0.974025974025974,XGB,cenario4/resultado_110
0.9850190750907231,0.9850190750907231,0.125,0.2631578947368421,LogClass,cenario4/resultado_111
0.999906950776961,0.999906950776961,0.9583333333333334,0.9829059829059831,RF,cenario4/resultado_111
0.8913043478260869,0.8913043478260869,0.878048780487805,0.8181818181818182,MLP,cenario4/resultado_111
0.6304347826086957,0.6304347826086957,0.41379310344827586,0.30612244897959184,SVM,cenario4/resultado_111
0.9999534753884805,0.9999534753884805,0.9787234042553191,0.9913793103448275,XGB,cenario4/resultado_111
0.9981008110050303,0.9981008110050302,0.7701863354037267,0.8933717579250721,LogClass,cenario4/resultado_112
1.0,1.0,1.0,1.0,RF,cenario4/resultado_112
0.9918841544386713,0.9918841544386713,0.9838709677419355,0.9838709677419355,MLP,cenario4/resultado_112
0.814516129032258,0.814516129032258,0.7722772277227723,0.6794425087108014,SVM,cenario4/resultado_112
1.0,1.0,1.0,1.0,XGB,cenario4/resultado_112
0.9810505050505051,0.9810505050505051,0.16991150442477876,0.33850493653032443,LogClass,cenario4/resultado_113
1.0,1.0,1.0,1.0,RF,cenario4/resultado_113
0.9997979797979798,0.9997979797979798,0.9504950495049505,0.9795918367346939,MLP,cenario4/resultado_113
0.6979166666666666,0.6979166666666666,0.5671641791044776,0.45023696682464454,SVM,cenario4/resultado_113
1.0,1.0,1.0,1.0,XGB,cenario4/resultado_113
0.9999885126131507,0.9999885126131507,0.9963636363636363,0.9985422740524782,LogClass,cenario4/resultado_114
1.0,1.0,1.0,1.0,RF,cenario4/resultado_114
1.0,1.0,1.0,1.0,MLP,cenario4/resultado_114
0.9890510948905109,0.9890510948905109,0.988929889298893,0.9824046920821116,SVM,cenario4/resultado_114
0.9999885126131507,0.9999885126131507,0.9963636363636363,0.9985422740524782,XGB,cenario4/resultado_114
0.9909787992006256,0.9909787992006256,0.7088607594936709,0.853658536585366,LogClass,cenario4/resultado_115
0.9941176470588236,0.9941176470588236,0.9940828402366864,0.9905660377358491,RF,cenario4/resultado_115
0.9941176470588236,0.9941176470588236,0.9940828402366864,0.9905660377358491,MLP,cenario4/resultado_115
0.8881429750629941,0.8881429750629941,0.8627450980392157,0.8088235294117646,SVM,cenario4/resultado_115
0.9941176470588236,0.9941176470588236,0.9940828402366864,0.9905660377358491,XGB,cenario4/resultado_115
0.9999535747446612,0.9999535747446611,0.9933774834437086,0.9973404255319148,LogClass,cenario4/resultado_116
1.0,1.0,1.0,1.0,RF,cenario4/resultado_116
1.0,1.0,1.0,1.0,MLP,cenario4/resultado_116
0.8866666666666667,0.8866666666666667,0.8721804511278195,0.8100558659217877,SVM,cenario4/resultado_116
1.0,1.0,1.0,1.0,XGB,cenario4/resultado_116
0.9757164171425632,0.9757164171425632,0.5526315789473685,0.7394366197183099,LogClass,cenario4/resultado_117
0.9772727272727273,0.9772727272727273,0.9767441860465117,0.963302752293578,RF,cenario4/resultado_117
0.977225566359692,0.977225566359692,0.9545454545454546,0.9545454545454545,MLP,cenario4/resultado_117
0.75,0.75,0.6666666666666666,0.5555555555555556,SVM,cenario4/resultado_117
0.977225566359692,0.977225566359692,0.9545454545454546,0.9545454545454545,XGB,cenario4/resultado_117
0.9919964708847996,0.9919964708847996,0.5448028673835126,0.7495069033530571,LogClass,cenario4/resultado_118
0.9999369800857071,0.9999369800857071,0.9934640522875817,0.9973753280839897,RF,cenario4/resultado_118
