name,steps,nbTransactions,nbClients,totalError
PS_20211015114330_73955224,10000,50975,298,0.7507863353372535
PS_20211015114331_73956105,10000,57590,313,0.7462753444964758
PS_20211015114332_73957055,10000,45579,422,0.7508586157891062
PS_20211015114333_73958007,10000,48826,246,0.7521192715251582
PS_20211015114334_73958923,10000,59350,173,0.7383793338936248
PS_20211015114335_73959869,10000,52121,345,0.7399937022392262
PS_20211015114336_73960789,10000,45105,121,0.7489764116079711
PS_20211015114337_73961687,10000,54834,524,0.7435346155262974
PS_20211015114338_73962636,10000,62852,237,0.7428968364496034
PS_20211015114338_73963614,10000,48989,306,0.7470015472529935
PS_20211015114339_73964510,10000,48073,117,0.7484625124883847
PS_20211015114340_73965437,10000,68862,209,0.7368443416412274
PS_20211015114341_73966395,10000,50551,161,0.7490452080456372
PS_20211015114342_73967302,10000,48208,137,0.7491834674927723
PS_20211015114343_73968268,10000,58660,286,0.739781767538937
PS_20211015114344_73969300,10000,50307,276,0.7432397516603333
PS_20211015114345_73970315,10000,59579,111,0.7413065253311756
PS_20211015114346_73971338,10000,54906,425,0.7444131022858504
PS_20211015114347_73972303,10000,52387,365,0.7480100732488475
PS_20211015114348_73973195,10000,50189,125,0.7503297294982988
PS_20211015114349_73974107,10000,46853,249,0.7500820764286924
PS_20211015114350_73975142,10000,49553,292,0.7508407093915379
PS_20211015114351_73976079,10000,56288,247,0.7479869360229269
PS_20211015114352_73977253,10000,47644,172,0.751169267118934
PS_20211015114353_73978216,10000,44311,318,0.7470331823270483
PS_20211015114354_73979038,10000,55234,399,0.7472391591470839
PS_20211015114355_73979886,10000,67828,251,0.7305169762191852
PS_20211015114356_73980931,10000,47366,372,0.7498274738616042
PS_20211015114357_73981826,10000,55626,475,0.7437747015025777
PS_20211015114358_73982823,10000,50938,308,0.7485403826511978
PS_20211015114359_73983986,10000,50664,182,0.7454564099170509
PS_20211015114400_73984860,10000,53029,160,0.7483074275403742
PS_20211015114401_73985787,10000,47724,595,0.7472444339751381
PS_20211015114402_73986675,10000,53274,253,0.7423572687954337
PS_20211015114403_73987680,10000,58587,357,0.7460534038229507
PS_20211015114403_73988625,10000,52817,235,0.7483717971794884
PS_20211015114404_73989548,10000,55880,228,0.7386859856867998
PS_20211015114405_73990545,10000,49077,153,0.746734090112914
PS_20211015114406_73991572,10000,44139,115,0.749176161903118
PS_20211015114407_73992486,10000,62244,453,0.7433794412773221
PS_20211015114408_73993426,10000,51861,389,0.7478805958796066
PS_20211015114409_73994369,10000,66120,351,0.7415276771117653
PS_20211015114410_73995311,10000,45131,254,0.748563270894795
PS_20211015114411_73996146,10000,49337,233,0.7453701184849189
PS_20211015114412_73997010,10000,50931,537,0.7500822378522818
PS_20211015114413_73997905,10000,47668,406,0.7456254867671862
PS_20211015114414_73998852,10000,39687,209,0.7509544762140105
PS_20211015114415_73999687,10000,55456,351,0.7443652076177858
PS_20211015114415_74000556,10000,54022,276,0.7481705025150367
PS_20211015114416_74001467,10000,67529,234,0.741374670112461
PS_20211015114417_74002379,10000,56766,200,0.7471946580380197
PS_20211015114418_74003317,10000,52901,632,0.7488985299407435
PS_20211015114419_74004177,10000,66629,216,0.7418078840427775
PS_20211015114420_74005084,10000,45265,246,0.7474992466110525
PS_20211015114421_74006004,10000,51832,132,0.7392054352516231
PS_20211015114422_74006953,10000,52258,111,0.7445098576214189
PS_20211015114423_74007955,10000,52515,243,0.7472967060609775
PS_20211015114424_74008830,10000,48960,306,0.7518204628819889
PS_20211015114425_74009752,10000,80106,356,0.7382593078701553
PS_20211015114426_74010903,10000,65640,520,0.7433848065120067
PS_20211015114427_74011892,10000,57290,299,0.7456269773569436
PS_20211015114428_74012765,10000,60615,304,0.7447456447505246
PS_20211015114429_74013744,10000,48014,181,0.7480276661158933
PS_20211015114429_74014617,10000,43837,551,0.7486427575198089
PS_20211015114430_74015490,10000,63816,366,0.7389139559927974
PS_20211015114431_74016451,10000,52930,263,0.744723814769426
PS_20211015114432_74017371,10000,56446,188,0.7470775376466277
PS_20211015114433_74018402,10000,55751,366,0.7478736592718149
PS_20211015114434_74019267,10000,61946,171,0.7410927479551639
PS_20211015114435_74020136,10000,50679,175,0.7415805177430917
PS_20211015114436_74021058,10000,41916,244,0.7497564500011664
PS_20211015114437_74021960,10000,43855,207,0.7492966991303768
PS_20211015114438_74022884,10000,53000,267,0.7444268360929386
PS_20211015114439_74023826,10000,49772,401,0.7384404726219109
PS_20211015114440_74024762,10000,49114,118,0.7494588009549283
PS_20211015114441_74025680,10000,58529,372,0.7388930861792034
PS_20211015114442_74026705,10000,59821,439,0.7440384884854117
PS_20211015114443_74027725,10000,52516,380,0.7512460520339371
PS_20211015114444_74028742,10000,46662,276,0.748039935187854
PS_20211015114445_74029779,10000,47448,165,0.7503973413130214
PS_20211015114446_74030755,10000,58304,116,0.7423971715543458
PS_20211015114447_74031649,10000,44186,280,0.7466192492971052
PS_20211015114447_74032532,10000,52016,285,0.7467973760496581
PS_20211015114448_74033441,10000,49199,208,0.7440636131781986
PS_20211015114449_74034371,10000,48994,224,0.7498510232485457
PS_20211015114450_74035250,10000,43182,289,0.7535005315618646
PS_20211015114451_74036131,10000,39444,317,0.7536136076441362
PS_20211015114452_74036982,10000,46020,235,0.7490622566355589
PS_20211015114453_74037871,10000,56033,127,0.7460504787232377
PS_20211015114454_74038798,10000,56661,306,0.736988303936385
PS_20211015114455_74039677,10000,52607,205,0.7498460042014401
PS_20211015114455_74040580,10000,64444,135,0.7401134988885654
PS_20211015114456_74041553,10000,54756,313,0.7469383691909518
PS_20211015114457_74042519,10000,62063,252,0.7447951857245175
PS_20211015114458_74043426,10000,48297,392,0.746437694144509
PS_20211015114459_74044308,10000,47998,304,0.7481014760517399
PS_20211015114500_74045196,10000,65687,567,0.7459097501690767
PS_20211015114501_74046303,10000,48332,193,0.7488015406846369
PS_20211015114502_74047236,10000,48075,335,0.7519046776987094
PS_20211015114503_74048107,10000,48913,245,0.7473213300694838
PS_20211015114504_74049117,10000,37990,139,0.7515157464812566
PS_20211015114505_74049961,10000,42494,359,0.7493635317194335
PS_20211015114506_74050906,10000,46583,196,0.7465485955666529
PS_20211015114507_74051870,10000,49170,421,0.7474500037491562
PS_20211015114508_74052729,10000,49217,264,0.7447046305062475
PS_20211015114509_74053763,10000,175710,112,0.699664372854997
PS_20211015114510_74055260,10000,60675,305,0.7466111201318257
PS_20211015114511_74056101,10000,49964,330,0.7426517213004682
PS_20211015114512_74057080,10000,50214,327,0.7479664066034261
PS_20211015114513_74057986,10000,53611,332,0.7475757568579331
PS_20211015114514_74058951,10000,55905,492,0.7385326719450919
PS_20211015114515_74059914,10000,61742,569,0.7442372357220314
PS_20211015114516_74060879,10000,44916,499,0.7483977211827436
PS_20211015114517_74061763,10000,41473,432,0.7492283211097397
PS_20211015114518_74062634,10000,39408,114,0.7511623669716936
PS_20211015114518_74063551,10000,54216,293,0.7453033900405553
PS_20211015114519_74064495,10000,35170,178,0.7586412289363778
PS_20211015114520_74065397,10000,54301,299,0.7436708978973166
PS_20211015114521_74066266,10000,53217,265,0.7472447942501557
PS_20211015114522_74067216,10000,43362,227,0.7401311870943414
PS_20211015114523_74068177,10000,57756,458,0.7489825049913399
PS_20211015114524_74069161,10000,47699,487,0.750297040879402
PS_20211015114525_74070311,10000,41612,459,0.7520607487108067
PS_20211015114526_74071214,10000,47754,210,0.74792713236935
PS_20211015114527_74072137,10000,57100,345,0.7484983393280279
PS_20211015114528_74073111,10000,48402,380,0.7465886836577366
PS_20211015114529_74074050,10000,49394,116,0.7491848515694141
PS_20211015114530_74074946,10000,50318,375,0.747637547556883
PS_20211015114531_74075889,10000,51390,479,0.7454630930275657
PS_20211015114532_74076806,10000,50943,529,0.7422651149290095
PS_20211015114533_74077754,10000,55968,177,0.7497020385838912
PS_20211015114534_74078692,10000,58487,210,0.7482277286928006
PS_20211015114534_74079588,10000,57989,410,0.740856506268778
PS_20211015114535_74080593,10000,60731,442,0.7413505384968835
PS_20211015114536_74081567,10000,64520,331,0.7414049028042721
PS_20211015114537_74082537,10000,54746,137,0.7468954780336261
